Code,Meaning,Comments
"AV-C","Aviation Cadet",""
"AV0C","Aviation Cadet",""
"AVC#","Aviation Cadet",""
"AV#C","Aviation Cadet",""
"AVTC","Aviation Cadet",""
"CAPT","Captain OR Asst. superintendent of nurses OR Asst director of nurses OR Chief dietitian OR Chief physical therapy aide",""
"CPL#","Corporal",""
"#C#L","Corporal",""
"#CPL","Corporal",""
"1#SG","First Sergeant",""
"10SG","First Sergeant",""
"1SG#","First Sergeant",""
"#1SG","First Sergeant",""
"1SGT","First Sergeant",""
"MMSG","Master Sergeant",""
"M##G","Master Sergeant",""
"M#SG","Master Sergeant",""
"#MSG","Master Sergeant",""
"MASG","Master Sergeant",""
"M#S#","Master Sergeant",""
"MSGT","Master Sergeant",""
"MSG#","Master Sergeant",""
"MS#G","Master Sergeant",""
"PVT@","Private",""
"#PVT","Private",""
"PVT#","Private",""
"PVT+","Private",""
"PFC#","Private First Class",""
"#PFC","Private First Class",""
"2#LT","Second Lieutenant OR Nurse OR Dietitian OR Physical therapy aide",""
"#SGT","Sergeant",""
"SGT1","Sergeant",""
"SG##","Sergeant",""
"SGT#","Sergeant",""
"S#SG","Staff Sergeant",""
"SSGT","Staff Sergeant",""
"SSG#","Staff Sergeant",""
"S+SG","Staff Sergeant",""
"#SSG","Staff Sergeant",""
"#SS#","Staff Sergeant",""
"T#S+","Technical Sergeant",""
"T#S#","Technical Sergeant",""
"T+SG","Technical Sergeant",""
"TSGT","Technical Sergeant",""
"TSG#","Technical Sergeant",""
"#TS#","Technical Sergeant",""
"#TSG","Technical Sergeant",""
"T#SG","Technical Sergeant",""
"TE+3","Technician 3d Grade",""
"T#C3","Technician 3d Grade",""
"TEC3","Technician 3d Grade",""
"TE+4","Technician 4th Grade",""
"T#C4","Technician 4th Grade",""
"TE#4","Technician 4th Grade",""
"TEC4","Technician 4th Grade",""
"TEC5","Technician 5th Grade",""
"TEC+5","Technician 5th Grade",""
"T#C5","Technician 5th Grade",""
